Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
12-Jun,88,58,0.102,28.17241379
13-Jun,88,58,0.104,25.71724138
14-Jun,88,58,0.091,25.80344828
15-Jun,88,59,0.073,26.87241379
16-Jun,89,59,0.107,25.44827586
17-Jun,90,59,0.067,24.9137931
18-Jun,90,60,0.051,25.59310345
19-Jun,89,59,0.096,26.62758621
20-Jun,91,61,0.099,27.29655172
21-Jun,91,61,0.065,25.82413793
22-Jun,92,61,0.061,25.91034483
23-Jun,92,61,0.092,26.24827586
24-Jun,93,62,0.091,25.82758621
25-Jun,92,61,0.06,27.22068966
26-Jun,92,62,0.131,26.71034483
27-Jun,93,63,0.066,27.25172414
28-Jun,93,63,0.035,28.33103448
29-Jun,94,64,0.101,26.75517241
30-Jun,92,63,0.073,26.06206897
1-Jul,93,63,0.041,27.89655172
2-Jul,93,64,0.038,27.13448276
3-Jul,94,64,0.073,27.83103448
4-Jul,94,63,0.098,27.81034483
5-Jul,94,63,0.077,25.53793103
6-Jul,94,64,0.081,26.70689655
7-Jul,94,64,0.098,26.83793103
8-Jul,94,64,0.076,25.90689655
9-Jul,94,64,0.054,25.86896552
10-Jul,94,64,0.082,26.49655172
11-Jul,93,64,0.066,25.57241379
12-Jul,93,64,0.124,25.51724138
13-Jul,94,64,0.066,25.79655172
14-Jul,94,64,0.058,26.64482759
15-Jul,95,64,0.059,26.51724138
16-Jul,95,65,0.042,25.17241379
17-Jul,95,65,0.037,25.12413793
18-Jul,95,65,0.105,25.06896552
19-Jul,95,65,0.055,24.43103448
20-Jul,94,65,0.066,25.07931034
21-Jul,93,64,0.109,26.53103448
22-Jul,94,64,0.116,26.44482759
23-Jul,93,64,0.1,25.5862069
24-Jul,93,64,0.099,25.04482759
25-Jul,94,64,0.053,24.85172414
26-Jul,95,65,0.066,26.02413793
27-Jul,95,65,0.096,24.22758621
28-Jul,94,64,0.102,24.7862069
29-Jul,94,64,0.049,24.66896552
30-Jul,94,64,0.08,25.3137931
31-Jul,94,65,0.046,25.02068966
1-Aug,95,64,0.113,25.19310345
2-Aug,95,64,0.141,25.44482759
3-Aug,94,64,0.113,25.14827586
4-Aug,94,65,0.085,24.07931034
5-Aug,93,65,0.116,23.86551724
6-Aug,94,64,0.093,24.80344828
7-Aug,93,64,0.108,24.91034483
8-Aug,93,64,0.087,24.50689655
9-Aug,93,64,0.082,23.30344828
10-Aug,93,63,0.091,23.3862069
11-Aug,93,63,0.097,23.11724138
12-Aug,92,63,0.061,23.59310345
13-Aug,92,63,0.137,22.96551724
14-Aug,91,63,0.105,21.9
15-Aug,91,63,0.117,21.62413793
16-Aug,92,63,0.059,22.23103448
17-Aug,93,63,0.066,24.16206897
18-Aug,92,63,0.04,21.65172414
19-Aug,92,62,0.059,22.42758621
20-Aug,91,62,0.054,21.91724138
21-Aug,92,62,0.078,22.68965517
22-Aug,91,62,0.083,20.8862069
23-Aug,92,62,0.074,21.40689655
24-Aug,91,62,0.103,21.41724138
25-Aug,92,61,0.029,22.38965517
26-Aug,92,62,0.052,21.65862069
27-Aug,92,62,0.045,20.99310345
28-Aug,90,60,0.064,20.2862069
29-Aug,91,61,0.027,21.4137931
30-Aug,91,60,0.078,21.30689655
31-Aug,91,60,0.076,19.35172414
1-Sep,90,60,0.077,20.1862069
2-Sep,90,59,0.074,20.54137931
3-Sep,90,59,0.035,20.48965517
4-Sep,89,58,0.05,19.82758621
5-Sep,89,59,0.047,19.66206897
6-Sep,90,59,0.039,20.85172414
7-Sep,90,58,0.056,20.22758621
8-Sep,88,58,0.046,20.10689655
9-Sep,86,56,0.078,19.78965517
10-Sep,86,55,0.058,20.28965517
11-Sep,86,56,0.084,19.73793103
12-Sep,87,54,0.082,18.05172414
13-Sep,85,54,0.035,18.30344828
14-Sep,84,54,0.066,17.64137931
15-Sep,84,53,0.03,16.74137931
16-Sep,85,54,0.055,15.56551724
17-Sep,84,54,0.059,16.55172414
18-Sep,86,54,0.054,18.43793103
19-Sep,85,53,0.054,18.94137931
20-Sep,83,52,0.035,17.59310345
21-Sep,82,51,0.057,18.77241379
22-Sep,82,50,0.05,18.61724138
23-Sep,81,50,0.059,18.19655172
24-Sep,80,49,0.039,16.2862069
25-Sep,80,48,0.027,17.66551724
26-Sep,80,47,0.039,18.22068966
27-Sep,79,47,0.042,17.5862069
28-Sep,80,47,0.054,16.56896552
29-Sep,79,48,0.037,17.02068966
30-Sep,80,48,0.037,16.50344828
1-Oct,80,48,0.04,18.05517241
2-Oct,81,47,0.034,17.80689655
3-Oct,80,47,0.025,17.66206897
4-Oct,78,47,0.049,17.5137931
5-Oct,78,44,0.063,14.66896552
6-Oct,77,44,0.03,16.06206897
7-Oct,77,43,0.049,15.72413793
8-Oct,77,43,0.022,16.23103448
9-Oct,76,42,0.034,15.69655172
