Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
24-Jun,91,60,0.059,24.5825
25-Jun,89,58,0.052,25.7425
26-Jun,90,60,0.072,25.39
27-Jun,91,61,0.042,26.3475
28-Jun,91,61,0.076,25.465
29-Jun,90,61,0.051,25.27
30-Jun,91,60,0.058,24.5925
1-Jul,90,61,0.104,25.4275
2-Jul,91,60,0.12,25.68
3-Jul,91,61,0.094,25.4825
4-Jul,92,61,0.147,25.495
5-Jul,92,61,0.109,24.6775
6-Jul,92,61,0.024,24.9925
7-Jul,92,61,0.037,24.965
8-Jul,92,61,0.131,24.24
9-Jul,92,62,0.065,24.78
10-Jul,92,62,0.054,24.83
11-Jul,92,62,0.111,24.4675
12-Jul,92,62,0.095,25.28
13-Jul,93,62,0.144,25.115
14-Jul,93,63,0.133,24.72
15-Jul,93,62,0.105,25.27
16-Jul,94,62,0.064,24.745
17-Jul,92,63,0.045,23.8375
18-Jul,92,63,0.048,23.5375
19-Jul,91,62,0.103,22.6375
20-Jul,93,63,0.058,22.3275
21-Jul,93,62,0.116,22.615
22-Jul,91,62,0.041,22.995
23-Jul,92,62,0.072,23.91
24-Jul,92,62,0.062,22.5775
25-Jul,93,62,0.099,23.145
26-Jul,94,63,0.187,22.9825
27-Jul,95,64,0.077,23.0525
28-Jul,94,63,0.044,22.965
29-Jul,94,63,0.038,22.9425
30-Jul,93,62,0.102,23.415
31-Jul,93,62,0.026,22.5425
1-Aug,94,63,0.103,23.1025
2-Aug,93,62,0.069,22.93
3-Aug,92,62,0.116,23.36
4-Aug,93,62,0.065,22.8025
5-Aug,92,62,0.124,20.675
6-Aug,92,62,0.162,22.7725
7-Aug,90,61,0.121,23.0025
8-Aug,91,60,0.091,23.3125
9-Aug,92,61,0.076,22.6575
10-Aug,91,61,0.066,21.0175
11-Aug,90,61,0.071,20.7675
12-Aug,91,61,0.061,21.4525
13-Aug,91,61,0.085,21.1925
14-Aug,92,61,0.118,20.8025
15-Aug,92,62,0.084,20
16-Aug,93,62,0.045,21.7425
17-Aug,91,61,0.074,22.47
18-Aug,91,61,0.074,20.5475
19-Aug,91,60,0.082,19.755
20-Aug,89,60,0.057,21.1575
21-Aug,90,59,0.056,21.19
22-Aug,90,60,0.087,20.745
23-Aug,90,60,0.037,20.2775
24-Aug,92,60,0.051,20.89
25-Aug,90,60,0.049,20.105
26-Aug,90,59,0.099,20.895
27-Aug,90,59,0.018,19.7925
28-Aug,89,58,0.084,20.83
29-Aug,89,57,0.092,20.3075
30-Aug,89,59,0.032,19.3775
31-Aug,89,58,0.046,17.85
1-Sep,89,57,0.032,18.28
2-Sep,88,56,0.036,18.1375
3-Sep,86,57,0.102,18.9575
4-Sep,86,56,0.091,19.21
5-Sep,87,57,0.026,19.1375
6-Sep,87,56,0.034,19.13
7-Sep,86,56,0.062,18.08
8-Sep,85,56,0.054,18.1175
9-Sep,85,55,0.048,19.24
10-Sep,84,54,0.054,19.11
11-Sep,84,54,0.096,17.5775
12-Sep,84,52,0.034,16.9225
13-Sep,83,54,0.051,16.8825
14-Sep,83,52,0.093,17.275
15-Sep,83,51,0.046,16.2325
16-Sep,82,52,0.052,15.0725
17-Sep,84,52,0.031,15.39
18-Sep,84,52,0.012,17.4375
19-Sep,83,51,0.054,15.8875
20-Sep,82,49,0.001,14.9525
21-Sep,81,48,0.039,16.005
22-Sep,81,48,0.036,16.1975
23-Sep,81,50,0.046,16.8075
24-Sep,80,48,0.015,16.2775
25-Sep,77,46,0.045,16.7
26-Sep,76,45,0.048,16.435
27-Sep,76,44,0.034,16.915
28-Sep,76,45,0.036,16.6875
29-Sep,76,45,0.056,16.0275
30-Sep,77,45,0.045,15.4625
1-Oct,78,45,0.032,16.26
2-Oct,79,47,0.038,15.74
3-Oct,78,47,0.03,15.1875
4-Oct,77,45,0.038,15.35
5-Oct,76,43,0.104,13.94
6-Oct,74,42,0.014,14.695
7-Oct,74,41,0.076,14.7725
8-Oct,74,40,0.021,13.5975
9-Oct,74,41,0.006,15.0375
10-Oct,74,42,0.046,14.19
11-Oct,73,41,0.092,15.0325
12-Oct,73,40,0.026,14.155
13-Oct,73,41,0.011,15.055
14-Oct,72,42,0.046,13.6
15-Oct,72,42,0.047,13.3075
16-Oct,72,40,0.047,13.2825
17-Oct,72,39,0.026,13.1075
18-Oct,70,39,0.033,13.69
19-Oct,68,37,0.028,13.3625
20-Oct,69,36,0.015,12.6625
21-Oct,68,36,0.057,13.1525
22-Oct,66,35,0.021,12.86
23-Oct,66,34,0.018,12.3225
24-Oct,67,35,0.015,12.3
25-Oct,66,34,0.075,12.275
26-Oct,65,34,0.003,12.58
27-Oct,66,33,0.005,12.2875
28-Oct,66,34,0.022,11.545
29-Oct,63,34,0.032,10.105
30-Oct,61,32,0.039,9.325
31-Oct,62,31,0.042,10.085
1-Nov,61,31,0.017,9.7575
2-Nov,60,29,0.036,9.6775
3-Nov,60,29,0.019,9.43
4-Nov,61,30,0.055,10.485
5-Nov,61,30,0.013,10.9275
6-Nov,61,30,0.035,10.385
7-Nov,58,28,0.033,9.69
8-Nov,59,27,0.013,8.3075
9-Nov,58,29,0.035,9.115
10-Nov,60,27,0.022,10.395
11-Nov,57,25,0.013,9.7475
12-Nov,55,25,0.028,8.225
13-Nov,55,26,0,9.8025
14-Nov,55,24,0.014,9.0675
15-Nov,56,25,0.011,9.1525
16-Nov,54,24,0.01,8.22
17-Nov,54,26,0.017,8.475
18-Nov,54,25,0.009,8.555
19-Nov,53,25,0.042,7.6
20-Nov,54,24,0.049,8.19
21-Nov,51,24,0.019,8.53
22-Nov,51,22,0.012,8.5125
23-Nov,53,23,0.006,8.215
24-Nov,53,24,0.004,7.9975
25-Nov,52,26,0.022,8.275
26-Nov,53,24,0.02,7.77
27-Nov,52,23,0.012,7.855
28-Nov,50,24,0.016,8.22
29-Nov,50,22,0.037,7.9525
30-Nov,52,23,0.018,8.2825
1-Dec,50,24,0.023,7.9225
2-Dec,50,21,0.018,8.23
3-Dec,49,23,0.052,7.9225
4-Dec,48,22,0.05,7.6925
5-Dec,48,20,0.036,7.49
6-Dec,48,21,0.024,6.7875
7-Dec,45,19,0.008,7.5475
8-Dec,42,19,0.011,7.5975
9-Dec,45,17,0.025,7.8375
10-Dec,44,18,0.005,7.1775
11-Dec,45,18,0.008,7.3725
12-Dec,43,19,0.013,7.4575
13-Dec,42,17,0.02,7.1675
14-Dec,41,17,0.009,6.9425
15-Dec,43,15,0.005,7.355
16-Dec,44,19,0.005,7.5875
17-Dec,43,16,0.005,7.5125
18-Dec,42,16,0.009,7.8675
19-Dec,42,17,0.011,7.165
20-Dec,43,17,0.045,7.2175
21-Dec,43,18,0.025,7.4925
22-Dec,42,18,0.004,7.38
23-Dec,42,17,0.032,7.395
24-Dec,44,16,0.005,7.4525
25-Dec,43,16,0.016,7.61
26-Dec,41,16,0.017,6.8525
27-Dec,40,15,0.007,7.325
28-Dec,43,14,0.008,7.6175
29-Dec,44,16,0.007,6.751282051
30-Dec,45,16,0.01,6.571794872
31-Dec,41,15,0.022,7.112820513
