Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
25-Jun,89,64,0.047,27.1925
26-Jun,90,64,0.102,26.5
27-Jun,91,65,0.072,27.3875
28-Jun,92,65,0.151,27.3875
29-Jun,92,66,0.094,25.56
30-Jun,91,66,0.045,25.505
1-Jul,92,67,0.086,26.905
2-Jul,93,66,0.037,26.9875
3-Jul,93,67,0.085,27.495
4-Jul,92,66,0.156,27.6525
5-Jul,92,66,0.098,26.24
6-Jul,93,67,0.061,26.785
7-Jul,93,67,0.052,26.55
8-Jul,93,67,0.082,25.9825
9-Jul,93,68,0.072,25.2675
10-Jul,93,68,0.081,25.8925
11-Jul,93,67,0.068,25.05
12-Jul,91,67,0.054,25.01
13-Jul,93,66,0.157,25.27
14-Jul,93,66,0.102,25.88
15-Jul,92,67,0.088,25.935
16-Jul,92,67,0.151,25.5875
17-Jul,93,68,0.108,25.3925
18-Jul,94,69,0.062,25.17
19-Jul,94,68,0.103,25.07
20-Jul,93,68,0.106,25.05
21-Jul,93,67,0.093,25.18
22-Jul,92,67,0.087,25.665
23-Jul,91,66,0.203,24.5975
24-Jul,92,67,0.094,24.5975
25-Jul,93,67,0.062,25.3375
26-Jul,92,67,0.093,25.785
27-Jul,92,67,0.136,24.3675
28-Jul,92,66,0.163,25.2825
29-Jul,92,67,0.103,24.6775
30-Jul,93,67,0.063,24.96
31-Jul,92,67,0.104,23.7625
1-Aug,93,67,0.092,23.865
2-Aug,92,67,0.134,24.3025
3-Aug,92,67,0.099,23.6025
4-Aug,91,67,0.092,22.9725
5-Aug,92,67,0.094,22.46
6-Aug,92,66,0.118,24.3125
7-Aug,92,66,0.017,25.1175
8-Aug,92,66,0.087,24.66
9-Aug,91,66,0.11,23.1275
10-Aug,90,65,0.115,23.0175
11-Aug,90,64,0.078,22.4925
12-Aug,90,65,0.074,23.2275
13-Aug,89,65,0.158,22.015
14-Aug,88,65,0.068,22.015
15-Aug,90,66,0.03,21.5875
16-Aug,92,66,0.03,22.98
17-Aug,92,67,0.056,24.1125
18-Aug,90,65,0.093,21.2
19-Aug,90,64,0.155,22.1025
20-Aug,90,65,0.106,21
21-Aug,90,65,0.07,22.59
22-Aug,90,65,0.054,21.5775
23-Aug,90,65,0.078,21.4225
24-Aug,90,65,0.128,21.7825
25-Aug,91,65,0.066,22.52
26-Aug,91,65,0.057,21.585
27-Aug,90,65,0.055,20.9125
28-Aug,90,64,0.092,20.92
29-Aug,90,64,0.155,21.735
30-Aug,89,65,0.07,20.97
31-Aug,87,63,0.073,19.1675
1-Sep,86,62,0.033,19.73
2-Sep,88,62,0.062,20
3-Sep,88,62,0.069,20.32
4-Sep,87,61,0.027,20.18
5-Sep,87,61,0.064,20.205
6-Sep,88,62,0.088,20.6525
7-Sep,86,61,0.098,20.11
8-Sep,85,60,0.072,20.255
9-Sep,84,59,0.04,19.74
10-Sep,85,59,0.061,19.9625
11-Sep,85,60,0.079,19.3925
12-Sep,83,58,0.108,18.2925
13-Sep,81,57,0.069,18.37
14-Sep,79,57,0.045,17.8025
15-Sep,80,55,0.109,17.0775
16-Sep,81,56,0.059,16.1975
17-Sep,82,57,0.059,16.9875
18-Sep,83,58,0.036,18.4925
19-Sep,82,56,0.036,17.37
20-Sep,79,54,0.081,16.49
21-Sep,78,53,0.029,17.745
22-Sep,77,52,0.075,17.725
23-Sep,75,51,0.071,17.6375
24-Sep,76,51,0.105,15.7875
25-Sep,78,51,0.066,18.2425
26-Sep,78,51,0.027,18.32
27-Sep,78,51,0.036,17.49
28-Sep,77,52,0.009,16.3375
29-Sep,78,51,0.041,16.805
30-Sep,78,51,0.006,16.83
1-Oct,79,51,0.082,17.66
2-Oct,77,51,0.038,17.1225
3-Oct,77,50,0.026,17.0525
4-Oct,76,49,0.022,17.3275
5-Oct,74,48,0.03,15.1475
6-Oct,73,47,0.052,16.185
7-Oct,75,47,0.015,14.9675
8-Oct,75,47,0.035,14.8875
9-Oct,72,47,0.12,15.995
10-Oct,73,46,0.079,14.915
11-Oct,74,47,0.031,15.4175
12-Oct,74,46,0.03,15.8075
13-Oct,74,46,0.009,15.505
14-Oct,73,45,0.015,15.1475
15-Oct,72,46,0.092,14.875
16-Oct,71,45,0.072,14.325
17-Oct,69,44,0.056,13.76
18-Oct,68,42,0.047,14.065
19-Oct,68,42,0.026,14.0925
20-Oct,69,43,0.026,14.0575
21-Oct,69,42,0.035,13.8275
22-Oct,69,42,0.013,13.4225
23-Oct,66,40,0.029,13.38
24-Oct,65,40,0.025,13.0825
25-Oct,66,39,0.114,12.6075
26-Oct,67,40,0.032,13.025
27-Oct,66,41,0.028,12.8125
28-Oct,65,40,0.022,11.845
29-Oct,65,40,0.063,11.325
30-Oct,62,38,0.106,10.875
31-Oct,62,38,0.059,11.13
1-Nov,60,36,0.086,9.9075
2-Nov,57,34,0.036,11.0925
3-Nov,58,34,0.021,11.385
4-Nov,58,33,0.013,10.93
5-Nov,58,33,0.02,11.7925
6-Nov,59,33,0.005,11.555
7-Nov,62,35,0.015,10.99
8-Nov,59,34,0.009,10.53
9-Nov,58,33,0.023,10.8125
10-Nov,58,31,0.005,10.4575
11-Nov,58,33,0.011,10.6975
12-Nov,58,33,0.011,10.2975
13-Nov,58,33,0.012,10.5025
14-Nov,57,33,0.023,10.03
15-Nov,58,32,0.059,10.125
16-Nov,55,30,0.097,9.3925
17-Nov,55,31,0.051,9.83
18-Nov,55,30,0.025,10.11
19-Nov,53,29,0.076,9.0975
20-Nov,53,28,0.039,9.93
21-Nov,55,29,0.005,9.99
22-Nov,52,28,0.004,9.045
23-Nov,51,27,0.002,9.385
24-Nov,51,27,0.024,9.62
25-Nov,54,29,0.016,8.815
26-Nov,51,26,0.017,8.92
27-Nov,46,24,0.032,8.6675
28-Nov,47,23,0.005,8.7925
29-Nov,47,24,0.012,9.0875
30-Nov,49,25,0.01,8.875
1-Dec,51,27,0.013,9.075
2-Dec,51,26,0.033,8.9875
3-Dec,50,26,0.029,9.13
4-Dec,51,27,0.028,8.6175
5-Dec,48,24,0.008,8.435
6-Dec,45,22,0.017,8.215
7-Dec,46,22,0.016,8.495
8-Dec,43,23,0.011,8.2625
9-Dec,46,22,0.016,8.51
10-Dec,46,22,0.02,8.42
11-Dec,44,22,0.012,8.1025
12-Dec,46,22,0.016,8.5275
13-Dec,45,22,0.028,8.115
14-Dec,45,21,0.027,8.245
15-Dec,45,21,0.028,8.535
16-Dec,46,22,0.012,8.125
17-Dec,46,22,0.012,8.0275
18-Dec,44,22,0.019,8.475
19-Dec,44,22,0.016,7.6625
20-Dec,43,20,0.021,7.87
21-Dec,43,21,0.024,8.405
22-Dec,44,20,0.013,8.345
23-Dec,42,20,0.041,8.4425
24-Dec,42,19,0.018,8.22
25-Dec,44,20,0.005,8.8625
26-Dec,45,21,0.014,7.885
27-Dec,44,21,0.029,7.945
28-Dec,45,22,0.011,8.3375
29-Dec,43,21,0.051,7.57
30-Dec,44,21,0.021,7.7775
31-Dec,42,19,0.033,8.2225
